id,institution,program,degree,season,decision,notification,decision_date,decision_timestamp,gpa,gre_verbal,gre_quant,gre_writing,is_new_gre,gre_subject,status,post_date,post_timestamp,comments
24318,Yale University,Political Science,PhD,F15,Rejected,E-mail,"(24, 2, 2015)",1424754000.0,3.33,162.0,154.0,4.0,True,,International,"(26, 2, 2015)",1424926800,Email referring me to check the website.
25542,Yale University,Political Science,PhD,F15,Rejected,E-mail,"(24, 2, 2015)",1424754000.0,,168.0,161.0,5.0,True,,International,"(25, 2, 2015)",1424840400,I received an email directing me to the website.
26112,Yale University,Political Science,PhD,F15,Rejected,E-mail,"(24, 2, 2015)",1424754000.0,,168.0,163.0,4.0,True,,International,"(24, 2, 2015)",1424754000,
26123,Yale University,Political Science,PhD,F15,Rejected,E-mail,"(24, 2, 2015)",1424754000.0,,,,,,,American,"(24, 2, 2015)",1424754000,
26130,Yale University,Political Science,PhD,F15,Rejected,E-mail,"(24, 2, 2015)",1424754000.0,,,,,,,International with US Degree,"(24, 2, 2015)",1424754000,
26137,Yale University,Political Science (Theory),PhD,F15,Rejected,E-mail,"(24, 2, 2015)",1424754000.0,3.5,161.0,154.0,4.0,True,,International,"(24, 2, 2015)",1424754000,e-mail to check website
26140,Yale University,Political Science,PhD,F15,Rejected,E-mail,"(24, 2, 2015)",1424754000.0,,,,,,,American,"(24, 2, 2015)",1424754000,
26141,Yale University,Political Science,PhD,F15,Rejected,Website,"(24, 2, 2015)",1424754000.0,,,,,,,American,"(24, 2, 2015)",1424754000,Email to check the website.
26143,Yale University,Political Science,PhD,F15,Rejected,E-mail,"(24, 2, 2015)",1424754000.0,,,,,,,International with US Degree,"(24, 2, 2015)",1424754000,"Had learned the news on the phone anyway, but received the official email as well. The culling has begun. 2R/3?"
26144,Yale University,Political Science,PhD,F15,Rejected,E-mail,"(24, 2, 2015)",1424754000.0,,,,,,,American,"(24, 2, 2015)",1424754000,
26145,Yale University,Political Science,PhD,F15,Rejected,E-mail,"(24, 2, 2015)",1424754000.0,,,,,,,American,"(24, 2, 2015)",1424754000,Email to check website
28528,Yale University,Political Science,PhD,F15,Accepted,E-mail,"(19, 2, 2015)",1424322000.0,3.41,167.0,170.0,5.5,True,,American,"(19, 2, 2015)",1424322000,Generic Email. Comparative/Political Economy
28642,Yale University,Political Science,PhD,F15,Accepted,E-mail,"(19, 2, 2015)",1424322000.0,3.6,162.0,159.0,5.5,True,,American,"(19, 2, 2015)",1424322000,IR and methods!
28892,Yale University,Political Science,PhD,F15,Accepted,E-mail,"(19, 2, 2015)",1424322000.0,,,,,,,,"(19, 2, 2015)",1424322000,
28922,Yale University,Political Science,PhD,F15,Accepted,Phone,"(19, 2, 2015)",1424322000.0,,162.0,160.0,4.0,True,,International with US Degree,"(19, 2, 2015)",1424322000,
28985,Yale University,Political Science,PhD,F15,Rejected,Phone,"(18, 2, 2015)",1424235600.0,,,,,,,International with US Degree,"(19, 2, 2015)",1424322000,3a/5r/0w/9
29464,Yale University,Political Science,PhD,F15,Accepted,E-mail,"(18, 2, 2015)",1424235600.0,3.93,160.0,169.0,5.0,True,,American,"(18, 2, 2015)",1424235600,Informal email from POI. Told official ones will come out at the end of the week - super excited! Comparative and methods.
34748,Yale University,Political Science,PhD,F15,Other,E-mail,"(7, 2, 2015)",1423285200.0,,,,,,,Other,"(7, 2, 2015)",1423285200,DGS email: the list would be finalized by Feb 17th.
35842,Yale University,Political Science,PhD,F15,Other,E-mail,"(4, 2, 2015)",1423026000.0,,,,,,,,"(4, 2, 2015)",1423026000,"Emailed to ask when we can expect a decision: ""Our Admissions committee is still in the process of making decisions. They hope to have this done by mid-end of February.  You will hear as soon as final decisions have been made and approved by the graduate school."""
67323,Yale University,Political Science,PhD,F14,Rejected,Website,"(27, 2, 2014)",1393477200.0,3.75,162.0,162.0,4.0,True,,American,"(27, 2, 2014)",1393477200,No idea why the email took so long..
68278,Yale University,Political Science,PhD,F14,Rejected,E-mail,"(26, 2, 2014)",1393390800.0,,,,,,,American,"(26, 2, 2014)",1393390800,Very generic email telling me that my application status had been changed and to check the website
68406,Yale University,Political Science,PhD,F14,Rejected,E-mail,"(26, 2, 2014)",1393390800.0,3.8,168.0,165.0,5.5,True,,American,"(26, 2, 2014)",1393390800,Was sort of long shot
68603,Yale University,Political Science,PhD,F14,Rejected,E-mail,"(26, 2, 2014)",1393390800.0,3.9,169.0,159.0,4.5,True,,International,"(26, 2, 2014)",1393390800,
68610,Yale University,Political Science,PhD,F14,Rejected,E-mail,"(25, 2, 2014)",1393304400.0,,,,,,,International with US Degree,"(26, 2, 2014)",1393390800,Email checking is now available.
68662,Yale University,Political Science,PhD,F14,Rejected,Website,"(25, 2, 2014)",1393304400.0,,,,,,,,"(25, 2, 2014)",1393304400,
